1 White Pawn	E2 E4
1 Black Pawn	E7 E5
2 White Knight	G1 F3
2 Black Knight	B8 C6
3 White Knight	B1 C3
3 Black Bishop	F8 C5
4 White Pawn	D2 D3
4 Black Knight	G8 F6
5 White Bishop	C1 G5
5 Black Pawn	H7 H6
6 White Bishop	G5 H4
6 Black Pawn	G7 G5
7 White Bishop	H4 G3
7 Black Knight	F6 G4
8 White Queen	D1 E2
8 Black Knight	C6 D4
9 White Bishop	G3 E5
9 Black Knight	D4 E2
10 White Bishop	F1 E2
10 Black Queen	D8 E7
11 White Bishop	E5 H8
